ring	date	sex	age	site
EC60701	2017-12-03	F	A	Kienbach
EC60702	2017-12-03	M	A	MaisingerBach
EC60703	2017-12-10	F	A	Aubach
EC60704	2017-12-10	M	A	Aubach
EC60705	2018-01-20	M	A	Wuerm
EC60706	2018-01-20	F	A	Wuerm
EC60707	2018-01-20	M	A	Wuerm
EC60711	2018-04-07	F	A	Wuerm
EC60712	2018-04-14	U	J	Aubach
EC60713	2018-04-14	U	J	Aubach
EC60714	2018-04-14	U	J	Aubach
EC60715	2018-04-14	U	J	Aubach
EC60716	2018-04-14	U	J	Aubach
EC60720	2018-05-10	U	J	Kienbach
EC60721	2018-05-10	U	J	Kienbach
EC60722	2018-05-10	U	J	Kienbach
EC60723	2018-05-10	M	A	Kienbach
EC60724	2018-05-10	F	A	Kienbach
EC60725	2018-05-10	U	J	Kienbach
EC60726	2018-05-10	M	A	Kienbach
EC60727	2018-05-12	U	J	Wuerm
EC60728	2018-05-12	M	J	Wuerm
EC60729	2018-05-12	F	J	Wuerm
EC60730	2018-05-12	M	J	Wuerm
EC60731	2018-05-12	U	J	Wuerm
EC60732	2018-05-12	U	J	Wuerm
EC60734	2018-05-26	F	A	Wuerm
EC60735	2018-05-26	M	A	Wuerm
EC60736	2018-06-02	U	J	Aubach
EC60737	2018-06-02	U	J	Aubach
EC60738	2018-06-02	U	J	Aubach
EC60739	2018-06-02	U	J	Aubach
EC60740	2018-06-02	U	J	Aubach
EC60741	2018-06-05	U	J	Wuerm
EC60742	2018-06-05	U	J	Wuerm
EC60743	2018-06-05	U	J	Wuerm
EC60744	2018-06-05	U	J	Wuerm
EC60745	2018-09-01	M	A	Wuerm
EC60746	2018-09-01	M	A	Wuerm
EC60747	2018-11-17	M	A	Wuerm
EC60748	2019-03-18	U	J	Wuerm
EC60749	2019-03-18	U	J	Wuerm
EC60750	2019-03-18	U	J	Wuerm
EC60751	2019-03-18	U	J	Wuerm
EC60752	2019-04-06	M	J	Wuerm
EC60753	2019-04-06	U	J	Wuerm
EC60754	2019-04-06	U	J	Wuerm
EC60755	2019-04-06	U	J	Wuerm
EC60756	2019-04-06	U	J	MaisingerBach
EC60757	2019-04-06	U	J	MaisingerBach
EC60758	2019-04-06	U	J	MaisingerBach
EC60759	2019-04-06	U	J	MaisingerBach
EC60760	2019-04-06	U	J	MaisingerBach
EC60761	2019-04-23	U	J	Wuerm
EC60762	2019-04-23	U	J	Wuerm
EC60763	2019-04-23	U	J	Wuerm
EC60764	2019-04-23	M	J	Wuerm
EC60765	2019-04-23	U	J	Wuerm
EC60708	2018-01-25	F	A	Wuerm
EC60709	2018-04-02	F	A	Luessbach
EC60710	2018-04-02	F	A	Wuerm
EC60717	2018-04-21	F	A	Wuerm
EC60718	2018-05-03	U	J	Wuerm
EC60719	2018-05-03	U	J	Wuerm
EC60800	2020-08-24	F	A	Wuerm
EC63501	2020-08-24	F	A	Wuerm
EC63502	2020-08-24	M	A	Wuerm
EC63503	2020-11-21	M	A	Wuerm
EC63504	2020-12-06	M	A	Kienbach
EC63505	2020-12-15	M	A	Wuerm
EC63506	2020-12-15	M	A	Wuerm
EC63507	2021-03-07	U	J	Wuerm
EC63508	2021-03-07	U	J	Wuerm
EC63509	2021-03-07	U	J	Wuerm
EC63510	2021-03-19	M	J	Wuerm
EC63511	2021-03-19	M	J	Wuerm
EC63512	2021-03-28	U	J	Wuerm
EC63513	2021-04-01	U	J	Wuerm
EC63514	2021-04-01	U	J	Wuerm
EC63515	2021-04-01	U	J	Aubach
EC63516	2021-04-01	U	J	Aubach
EC63517	2021-04-01	U	J	Aubach
EC63518	2021-04-01	U	J	Aubach
EC63519	2021-04-01	U	J	Aubach
EC63520	2021-04-01	U	J	MaisingerBach
EC63521	2021-04-01	U	J	MaisingerBach
EC63522	2021-04-01	U	J	MaisingerBach
EC63523	2021-04-01	U	J	MaisingerBach
EC63524	2021-04-01	U	J	MaisingerBach
EC63525	2021-04-01	U	J	MaisingerBach
EC60733	2018-05-12	U	J	Wuerm
EC60766	2019-05-09	U	J	Aubach
EC60767	2019-05-09	U	J	Aubach
EC60768	2019-05-09	U	J	Aubach
EC60769	2019-05-09	U	J	Aubach
EC60770	2019-06-05	U	J	Wuerm
EC60771	2019-06-05	F	J	Wuerm
EC60772	2019-06-05	M	J	Wuerm
EC60773	2019-06-05	U	J	Wuerm
EC60774	2019-06-05	U	J	Wuerm
EC60775	2020-03-21	U	J	Wuerm
EC60776	2020-03-21	U	J	Wuerm
EC60777	2020-04-03	U	J	Wuerm
EC60778	2020-04-03	F	J	Wuerm
EC60779	2020-04-03	F	J	Wuerm
EC60780	2020-04-03	U	J	Wuerm
EC60781	2020-04-03	M	J	Wuerm
EC60782	2020-04-26	U	J	Aubach
EC60783	2020-04-26	U	J	Aubach
EC60784	2020-04-26	U	J	Aubach
EC60785	2020-04-26	U	J	Aubach
EC60786	2020-04-26	U	J	Aubach
EC60787	2020-05-09	U	J	Wuerm
EC60788	2020-05-09	U	J	Wuerm
EC60789	2020-05-09	U	J	Wuerm
EC60790	2020-05-23	U	J	Wuerm
EC60791	2020-05-23	F	J	Wuerm
EC60792	2020-05-23	F	J	Wuerm
EC60793	2020-05-23	U	J	Wuerm
EC60794	2020-05-23	U	J	Wuerm
EC60795	2020-05-23	U	J	MaisingerBach
EC60796	2020-05-23	U	J	MaisingerBach
EC60797	2020-05-23	U	J	MaisingerBach
EC60798	2020-05-23	U	J	MaisingerBach
EC60799	2020-05-23	U	J	MaisingerBach
EC63526	2021-05-09	U	J	Starzenbach
EC63527	2021-05-09	U	J	Starzenbach
EC63528	2021-05-09	U	J	Starzenbach
EC63529	2021-05-15	U	J	Wuerm
EC63530	2021-05-15	U	J	Wuerm
EC63531	2021-05-15	U	J	Wuerm
EC63532	2021-05-15	U	J	Wuerm
EC63533	2021-05-15	F	J	Wuerm
EC63534	2021-05-15	U	J	Wuerm
EC63535	2021-05-15	F	A	Luessbach
EC63536	2021-05-20	M	J	Wuerm
EC63537	2021-05-20	U	J	Wuerm
EC63538	2021-05-20	U	J	Wuerm
EC63539	2021-05-20	U	J	Wuerm
EC63540	2021-05-26	U	J	Wuerm
EC63541	2021-05-26	U	J	Wuerm
EC63542	2021-05-26	U	J	Wuerm
EC63543	2021-06-01	U	J	Aubach
EC63544	2021-06-01	U	J	Aubach
EC63545	2021-06-01	U	J	Aubach
EC63546	2021-06-01	M	J	Aubach
EC63547	2021-06-11	U	J	Wuerm
EC63548	2021-06-11	U	J	Wuerm
EC63549	2021-06-13	U	J	Luessbach
EC63550	2021-06-13	U	J	Luessbach
EC63551	2021-06-13	U	J	Luessbach
EC63552	2021-11-16	F	A	Starzenbach
EC63553	2022-03-14	U	J	Wuerm
EC63554	2022-03-14	U	J	Wuerm
EC63555	2022-03-14	U	J	Wuerm
EC63556	2022-03-14	U	J	Wuerm
EC63557	2022-03-14	U	J	Wuerm
EC63558	2022-03-14	U	J	Wuerm
EC63559	2022-03-14	U	J	Wuerm
EC63560	2022-03-14	U	J	Wuerm
EC63561	2022-03-29	U	J	Wuerm
EC63562	2022-03-29	U	J	Wuerm
EC63563	2022-03-29	U	J	Wuerm
EC63564	2022-03-30	U	J	MaisingerBach
EC63565	2022-03-30	U	J	MaisingerBach
EC63566	2022-04-16	U	J	Wuerm
EC63567	2022-04-16	U	J	Wuerm
EC63568	2022-04-16	U	J	Wuerm
EC63569	2022-04-16	U	J	Wuerm
EC63570	2022-04-16	U	J	Wuerm
EC63571	2022-04-16	U	J	Starzenbach
EC63572	2022-04-16	U	J	Starzenbach
